"Fund name","Location","Description","Website","LinkedIn","Investment Stage","CB Rank (Organization)","Founded Date","Organization URL","Industries","Total Funding","Number of Investments 2025","Number of Investments 2026","Number of Investments","Number of Lead Investments","Contact Email"," ","","","","","","","","",""
"Millenium Food-Tech","Tel Aviv","Millenium Food-Tech specializes in investment in and betterment of companies in food-tech sectors.","https://millennium-ft.com","https://www.linkedin.com/company/millennium-food-tech","Early Stage Venture","106 879","2019-01-01","https://www.crunchbase.com/organization/millenium-food-tech","","","","","15","10","yossi@millennium-ft.com"," ","","","","","","","","",""
"GreenSoil Investments","Ra'anana","GreenSoil Investments funds companies with transformative technologies that change how to use the world’s resources.","http://greensoil-investments.com/","https://www.linkedin.com/company/greensoil-investments/?trk=top_nav_home","Early Stage Venture, Seed","473 048","2011-12-01","https://www.crunchbase.com/organization/greensoil","","","","","15","3","info@greensoil-investments.com"," ","","","","","","","","",""
"Altshuler Shaham","Tel Aviv","The Altshuler Shaham Group is a leading Israeli firm in the field of asset management. Since 1990, it has specialized in the management of","http://www.invest-as.com","-","Early Stage Venture, Late Stage Venture","3 940 083","1990-01-01","https://www.crunchbase.com/organization/altshuler-shaham","","","","","15","3","sherut@altshul.co.il"," ","","","","","","","","",""
"Magenta Venture Partners","Herzliya","Israeli venture capital firm focused exclusively on Israeli and Israeli-related early stage technology startups across multiple categories","https://magenta.vc/","https://www.linkedin.com/company/magentavp/","Early Stage Venture, Seed","47 860","2018-10-01","https://www.crunchbase.com/organization/magenta-venture-partners","","","","","14","8","info@magenta.vc"," ","","","","","","","","",""
"VentureIsrael","Tel Aviv","Israeli Early Stage Deep Tech Fund","https://ventureisrael.com","https://www.linkedin.com/company/ventureisrael","Early Stage Venture, Seed","53 881","2020-01-01","https://www.crunchbase.com/organization/ventureisrael","","","","","14","4","info@ventureisrael.com"," ","","","","","","","","",""
"Catalyst Fund LP","Tel Aviv","Catalyst Funds are Israeli-based private equity funds investing in late stage Israeli and Israeli related companies.","http://www.catalyst-fund.com/","https://www.linkedin.com/company/catalyst-fund","-","69 536","1999-01-01","https://www.crunchbase.com/organization/catalyst-fund-lp","","","","","14","5","audreyg@catalyst-fund.com"," ","","","","","","","","",""
"Arieli Group","Herzliya","Arieli Group is a global investment firm committed to creating enduring prosperity.","https://arieli-group.com","https://www.linkedin.com/company/arieli-group","Early Stage Venture, Late Stage Venture, Post-Ipo, Secondary Market, Seed","265 728","2016-01-01","https://www.crunchbase.com/organization/arieli-el","","","","","14","4","Office@arieli-group.com"," ","","","","","","","","",""
"ALIVE Israel HealthTech Fund","Tel Aviv","ALIVE Israel HealthTech Fund is a pioneer mid-to-late stage HealthTech fund leveraging an exclusive ecosystem","https://alivevc.com/","https://www.linkedin.com/company/alivevc/","Early Stage Venture, Late Stage Venture, Seed, Venture","302 481","2020-01-01","https://www.crunchbase.com/organization/alive-israel-healthtech-fund","","","","","14","9","info@alivevc.com"," ","","","","","","","","",""
"i4Valley","Karmi'el","i4Valley helps innovators reach global markets by funding early-stage startups and creating ventures from the ground up","http://www.i4Valley.com","https://www.linkedin.com/company/i4valley/","Early Stage Venture, Seed","341 900","2020-07-01","https://www.crunchbase.com/organization/i4valley-karmiel-incubator-for-smart-industry","","","","","14","14","anatm@i4valley.com"," ","","","","","","","","",""
"Dynamic Loop Capital","Herzliya","Dynamic Loop Capital invests in and supports socially responsible and disruptive technology companies.","https://www.dlcap.com/","https://www.linkedin.com/company/dynamic-loop-capital","Early Stage Venture, Late Stage Venture, Seed","344 309","2016-01-01","https://www.crunchbase.com/organization/dynamic-loop-capital","","","","","14","","info@dlcap.com"," ","","","","","","","","",""
"RUNI Ventures","Herzliya","RUNI Ventures is an early-stage VC fund affiliated with Reichman University.","https://www.runiventures.com","https://www.linkedin.com/company/runi-ventures","-","435 969","2023-01-01","https://www.crunchbase.com/organization/runi-ventures","","","","","14","1","ruvoffice@runi.ac.il"," ","","","","","","","","",""
"Leumi Partners","Tel Aviv","Leumi Partners is Leumi Group's Investment Banking arm, providing clients with non-banking growth solutions","http://www.leumipartners.com/en/","https://www.linkedin.com/company/leumi-partners/","Debt, Late Stage Venture, Private Equity","32 232","1980-01-01","https://www.crunchbase.com/organization/leumi-partners","","","","","13","6","-"," ","","","","","","","","",""
"i3 equity Partners","Tel Aviv","i3 invests in Israeli Internet of Things (IoT) related early stage ventures","http://www.i3equity.com","https://www.linkedin.com/company/i3-equity-partners","Seed","83 356","2016-01-01","https://www.crunchbase.com/organization/i3-equity-partners","","","","","13","2","info@i3equity.com"," ","","","","","","","","",""
"INT3","Tel Aviv","The Israeli founders fund.","https://int3.com","https://www.linkedin.com/company/int3","Early Stage Venture, Seed","226 628","2021-11-01","https://www.crunchbase.com/organization/int3-66dc","","","","","13","2","-"," ","","","","","","","","",""
"Deep Insight","Herzliya","Deep Insight is a venture fund that invests in deep tech at all stages and across all sectors.","https://www.deepinsight.co.il/","https://www.linkedin.com/company/deep-insightfund","Early Stage Venture, Late Stage Venture","324 476","2021-01-01","https://www.crunchbase.com/organization/deep-insight-6269","","","","","13","5","office@deepinsight.co.il"," ","","","","","","","","",""
"Maayan Ventures","Omez","Maayan Ventures is an early-stage technology incubator that engages in the establishment, branding, and marketing of technological products.","http://www.myv.co.il","https://www.linkedin.com/company/maayan-ventures-ltd/","Seed","474 947","1990-01-01","https://www.crunchbase.com/organization/maayan-ventures","","","","","13","2","info@myv.co.il"," ","","","","","","","","",""
"MoreTech Ventures","Tel Aviv","MoreTech Ventures, a VC firm, focuses on Israeli and Israeli-related growth-stage investment opportunities, across all market segments.","https://www.moretech.vc","https://www.linkedin.com/company/more-tech-ventures/","Early Stage Venture","620 674","2020-01-01","https://www.crunchbase.com/organization/moretech-ventures","","","","","13","4","-"," ","","","","","","","","",""
"Arkin Digital Health","Herzliya","Digital Health investor, focused on Healthcare IT and Healthtech enabled services","https://www.arkinholdings.com/healthcare-investments/digital-health/","https://www.linkedin.com/company/arkin-digital-health/","Early Stage Venture, Late Stage Venture, Seed, Venture","640 155","2021-01-01","https://www.crunchbase.com/organization/arkin-digital-health","","","","","13","","shir@arkinholdings.com"," ","","","","","","","","",""
"ADvantage","Jerusalem","ADvantage is an early-stage VC fund investing in tech companies shaping the future of sports.","https://www.advantage.vc/","https://www.linkedin.com/company/advantage-vc/","Early Stage Venture, Seed, Venture","33 470","2018-02-01","https://www.crunchbase.com/organization/advantage-sports-tech-fund","","","","","12","7","contact@advantage.vc"," ","","","","","","","","",""
"Key 1 Capital","Herzliya","Key1 Capital is a global investment firm focused on growth technology companies.","https://key1capital.com","https://www.linkedin.com/company/key1capital","Early Stage Venture, Late Stage Venture, Seed","259 897","2022-01-01","https://www.crunchbase.com/organization/key-1-capital","","","","","12","4","info@key1capital.com"," ","","","","","","","","",""
"Welltech Ventures","Tel Aviv","Welltech Ventures is the first and leading venture capital firm in Israel solely focused on the wellness space.","https://www.welltechventures.com/","https://www.linkedin.com/company/welltechventures/","Early Stage Venture","285 420","2019-01-01","https://www.crunchbase.com/organization/welltech-ventures","","","","","12","4","info@welltechventures.com"," ","","","","","","","","",""
"SBI Japan-Israel Innovation Fund","Tel Aviv","SBI JI Innovation Fund is a biopharma focused VC.","http://sbi-ji.co.il","-","Early Stage Venture, Late Stage Venture","369 471","2017-01-01","https://www.crunchbase.com/organization/sbi-japan-israel-innovation-fund","","","","","12","1","-"," ","","","","","","","","",""
"Krypton Venture Capital 4.0","Tel Aviv","Krypton VC 4.0 focuses on seed tech and internet ventures in initial revenue stage, across various verticals.","http://kryptonvc.com","http://www.linkedin.com/company/5190942","-","386 582","2014-07-01","https://www.crunchbase.com/organization/krypton-venture-capital","","","","","12","2","info@kryptonvc.com"," ","","","","","","","","",""
"Brilliance Ventures","Ramat Gan","Brilliance Ventures is a Venture Capital fund, which invests in core technology in growth stages.","http://www.brillianceventures.com/","https://www.linkedin.com/company/brilliance-ventures/about/","Late Stage Venture","458 876","2018-01-01","https://www.crunchbase.com/organization/brilliance-ventures","","","","","12","1","-"," ","","","","","","","","",""
"Singulariteam","Tel Aviv","Singulariteam Ltd. is a Private Investment Fund dedicated to assisting early stage technology companies requiring seed capital.","http://www.singulariteam.com","https://www.linkedin.com/company/singulariteam-ltd-","Early Stage Venture, Seed","1 246 028","2012-01-01","https://www.crunchbase.com/organization/singulariteam-ltd","","","","","12","4","-"," ","","","","","","","","",""
"Tal Capital","Tel Aviv","Tal Capital is a venture capital firm that invests in early stage companies.","http://www.tal-capital.com/","https://www.linkedin.com/company/tal-capital","Early Stage Venture","2 984 527","2016-01-01","https://www.crunchbase.com/organization/tal-capital","","","","","12","2","info@tal-capital.com"," ","","","","","","","","",""
"Viola Partners","Herzliya","Viola Partners is an exclusive investment fund tailored especially for private investors","-","-","Early Stage Venture, Late Stage Venture, Private Equity","3 810 307","2000-01-01","https://www.crunchbase.com/organization/viola-partners","","","","","12","1","-"," ","","","","","","","","",""
"TENE Investment Funds","Tel Aviv","Tene Investment Funds, an Israeli Private Equity firm, manages $205 million dollars in private investments through active positions.","http://tenecapital.com","https://www.linkedin.com/company/tene-investment-funds/about/","Late Stage Venture, Private Equity","83 121","2004-01-01","https://www.crunchbase.com/organization/tene-investment-funds","","","","","11","6","info@tenecapital.com"," ","","","","","","","","",""
"Earth & Beyond Ventures","Herzliya","Earth & Beyond Ventures is an early stage VC fund focused on investing in DeepTech Innovations from concept to creation.","https://www.earthandbeyond.ventures","https://www.linkedin.com/company/earth-beyond-ventures","Early Stage Venture, Seed","256 993","2022-08-01","https://www.crunchbase.com/organization/earth-beyond-ventures","","","","","11","10","contact@earthandbeyond.ventures"," ","","","","","","","","",""
"Shoni Health Ventures","Ramat Gan","Shoni Health Ventures is an early stage venture capital fund that invests in digital health and medical devices.","https://shonihealth.com","https://www.linkedin.com/company/shoni-health-ventures","Early Stage Venture, Seed, Venture","283 034","","https://www.crunchbase.com/organization/shoni-health-ventures","","","","","11","6","info@shonihealth.com"," ","","","","","","","","",""
"Longevity Venture Partners","Jerusalem","Longevity Venture Partners is an early-stage venture capital fund.","https://www.longevityventurepartners.com/","https://www.linkedin.com/company/longevity-venture-partners","Early Stage Venture, Seed","372 672","2020-01-01","https://www.crunchbase.com/organization/longevity-venture-partners","","","","","11","2","-"," ","","","","","","","","",""
"FutuRx","Ness Ziona","FutuRx is the Israeli biotechnology accelerator.","http://futurx.co.il/","https://www.linkedin.com/company/futurx","Venture","1 378 572","2014-01-01","https://www.crunchbase.com/organization/futurx","","","","","11","","info@futurx.co.il"," ","","","","","","","","",""
"Mivtach Shamir Holdings LTD","Tel Aviv","Real Estate, Investments, Tech, Holdings","https://msgroup.co.il/","https://www.linkedin.com/company/mivtach-shamir-energy-ltd","Early Stage Venture, Late Stage Venture, Venture","2 735 470","1958-01-01","https://www.crunchbase.com/organization/mivtach-shamir-holdings-ltd","","","","","11","3","-"," ","","","","","","","","",""
"Eucalyptus Ventures","Tel Aviv","Eucalyptus Ventures specializes in early venture, late venture, and growth investments.","-","-","-","3 362 161","","https://www.crunchbase.com/organization/eucalyptus-ventures","","","","","11","2","-"," ","","","","","","","","",""
"Joy Ventures","Herzliya","Joy Ventures builds, funds, and supports companies developing consumer products for wellbeing and joy.","http://joyventures.com/","https://www.linkedin.com/company/joy-ventures/","Early Stage Venture, Seed","51 929","2017-01-01","https://www.crunchbase.com/organization/joy-ventures","","","","","10","2","info@joyventures.com"," ","","","","","","","","",""
"Stardom Ventures","Tel Aviv","Stardom Ventures is a venture capital firm that invests in Media-Tech businesses.","https://www.stardom.vc","https://www.linkedin.com/company/stardom-ventures","Early Stage Venture","110 050","2021-01-01","https://www.crunchbase.com/organization/stardom-ventures","","","","","10","2","-"," ","","","","","","","","",""
"toDay.Ventures","Tel Aviv","WE INVEST and BOOST early stage B2B Startups","http://www.today.ventures/","https://www.linkedin.com/company/9335698","Seed","572 062","2016-01-01","https://www.crunchbase.com/organization/today-2","","","","","10","2","info@today.ventures"," ","","","","","","","","",""
"Israel Healthcare Ventures","Tel Aviv","Israel HealthCare Ventures (IHCV) - a leading Israeli life sciences venture fund - was founded at the end of the year 2000.","http://www.ihcv.co.il","https://www.linkedin.com/company/israel-healthcare-ventures","Late Stage Venture","670 166","2000-01-01","https://www.crunchbase.com/organization/israel-healthcare-ventures","","","","","10","5","ihcv@ihcv.co.il"," ","","","","","","","","",""
"Arc Impact","Jerusalem","Arc Impact is a venture capital firm.","https://www.arcimpact.org/","https://www.linkedin.com/company/arc-impact","Early Stage Venture, Seed","750 954","2018-01-01","https://www.crunchbase.com/organization/arc-impact","","","","","10","","-"," ","","","","","","","","",""
"Ampal-American Israel","Herzliya","Ampal is to make investments in companies that grow in Israel initially and then expanded abroad.","http://www.ampal.com","https://www.linkedin.com/company/east-mediterranean-gas-company","Early Stage Venture, Late Stage Venture","4 094 666","1942-01-01","https://www.crunchbase.com/organization/ampal-american-insrael","","","","","10","","main@ampal.com"," ","","","","","","","","",""
"BuiltUp Ventures","Tel Aviv","BuiltUp Ventures is a seed investment fund for Israeli PropTech startups.","https://builtupventures.com/","https://www.linkedin.com/company/12981444","Early Stage Venture, Seed","84 357","2019-01-01","https://www.crunchbase.com/organization/builtup-ventures","","","","","9","5","info@builtupventures.com"," ","","","","","","","","",""
"Cognitiv Ventures","Jerusalem","Cognitiv Ventures provides mentorship, strategic direction, and trusted guidance for investment management and financial services.","https://www.cognitiv.vc/","https://www.linkedin.com/company/cognitiv-ventures","Early Stage Venture","123 251","2015-06-01","https://www.crunchbase.com/organization/ourcrowd-first","","","","","9","2","ir@cognitiv.vc"," ","","","","","","","","",""
"Titan Ventures","Herzliya","Titan Ventures invest in early-stage start-up companies.","https://titan-ventures.com/","https://www.linkedin.com/company/titan-ventures/","Early Stage Venture, Seed, Venture","298 009","2018-01-01","https://www.crunchbase.com/organization/titan-ventures-7102","","","","","9","1","Office@titan-ventures.com"," ","","","","","","","","",""
"Axon Ventures","Tel Aviv","Axon Ventures is a venture capital fund investing in Israel's elite founders.","https://www.axon.vc/","https://www.linkedin.com/company/axonventures","Early Stage Venture, Seed","334 988","","https://www.crunchbase.com/organization/axon-ventures-49b6","","","","","9","4","-"," ","","","","","","","","",""
"Sanara Ventures","Ra'anana","Sanara Ventures is an innovation-investment platform.","http://sanaraventures.com/","-","Early Stage Venture, Seed, Venture","436 288","2015-01-01","https://www.crunchbase.com/organization/sanara-ventures","","","","","9","3","info@SanaraVentures.com"," ","","","","","","","","",""
"Almeda Ventures","Tel Aviv","Almeda Ventures is the first HealthTech focused public R&D partnership","https://www.almedaventures.com/","https://www.linkedin.com/company/almeda-ventures/","Early Stage Venture, Late Stage Venture","444 819","2020-07-01","https://www.crunchbase.com/organization/almeda-ventures","","","","","9","2","info@almedaventures.com"," ","","","","","","","","",""
"iArgento","Jerusalem","iArgento is a multi-family office specializing in wealth management, alternative investments, and digital assets.","https://www.iargento.com/","https://www.linkedin.com/company/iargento","Crowdfunding","460 556","1995-06-02","https://www.crunchbase.com/organization/iargento","","","","","9","2","office@iargento.com"," ","","","","","","","","",""
"Teuza","Haifa","Teuza is a venture capital fund publicly traded in the Tel Aviv stock exchange.","http://www.teuzafund.com","https://www.linkedin.com/company/teuza/about/","Early Stage Venture, Late Stage Venture, Seed","626 805","1992-01-01","https://www.crunchbase.com/organization/teuza","","","","","9","3","teuza@teuzafund.com"," ","","","","","","","","",""
"HBL Hadasit Bio Holdings","Jerusalem","HBL Hadasit Bio Holdings is the medical research center of the Hadassah University Hospital.","http://www.hbl.co.il","http://www.linkedin.com/company/hadasit-bio-holdings-ltd-","Early Stage Venture","629 761","2005-01-01","https://www.crunchbase.com/organization/hbl-hadasit-bio-holdings","","","","","9","1","info@hbl.co.il"," ","","","","","","","","",""
"Cresson Management","Tel Aviv","Cresson Management","-","-","Seed","1 467 124","","https://www.crunchbase.com/organization/cresson-management","","","","","9","3","-"," ","","","","","","","","",""
"KDC Media Fund","Tel Aviv","KDC Media Fund is an early stage fund investing in media startups. The fund is a JV between Keshet & DCP","https://kdc.fund","https://www.linkedin.com/company/kdc-media-fund","Early Stage Venture, Late Stage Venture, Seed","2 202 457","2016-01-01","https://www.crunchbase.com/organization/kdc-media-fund","","","","","9","1","-"," ","","","","","","","","",""
"Platinum Neurone Ventures (PNV)","Herzliya","Platinum Neurone Ventures is a fund investor.","http://www.pn-vc.com","-","Late Stage Venture","3 892 459","2000-01-01","https://www.crunchbase.com/organization/platinum-neurone-ventures","","","","","9","1","Paulgregory0000@gmail.com"," ","","","","","","","","",""
"Symbol","Tel Aviv","First-check VC, backing pre-consensus founders and helping them build from zero to one","https://symbol.vc","https://www.linkedin.com/company/symbolvc","Early Stage Venture, Seed","42 627","2021-08-01","https://www.crunchbase.com/organization/symbol-aff1","","","","","8","2","crunchbase@symbol.vc"," ","","","","","","","","",""
"Aristagora VC","Tel Aviv","Aristagora VC is a vertically agnostic early-stage VC that supports great teams from inception to growth.","https://www.aristagoravc.com/","https://www.linkedin.com/company/aristagoravc/","Early Stage Venture","60 322","2020-01-01","https://www.crunchbase.com/organization/aristagora-vc","","","","","8","2","info@aristagoravc.com"," ","","","","","","","","",""
"Smart Agro","Ra'anana","Smart Agro specializes in investing and improving companies in the agro-tech fields.","https://smartagrofund.com/","https://www.linkedin.com/company/smart-agro-fund/","Early Stage Venture, Seed","226 305","2015-01-01","https://www.crunchbase.com/organization/smart-agro-c8b7","","","","","8","2","dganit@smartagrofund.com"," ","","","","","","","","",""
"Startup Factory","Herzliya","Startup Factory is created and managed by dozens of Israel's recognized industry and technology leaders and offers an early stage","http://startupfactory.co.il","-","Seed","262 875","","https://www.crunchbase.com/organization/startup-factory","","","","","8","","info@startupfactory.co.il"," ","","","","","","","","",""
"91 Ventures","Tel Aviv","Venture Capital firm focused on Israeli pre-seed investments","https://www.91vc.fund","https://www.linkedin.com/company/91-ventures","Early Stage Venture, Seed","297 697","2022-12-01","https://www.crunchbase.com/organization/91-ventures","","","","","8","1","-"," ","","","","","","","","",""
"TechAviv","Tel Aviv","TechAviv is the global Israeli startup founders club and fund.","http://techaviv.com/","https://www.linkedin.com/company/techaviv/","Seed","305 773","2007-08-01","https://www.crunchbase.com/organization/techaviv","","","","","8","3","yaron@techaviv.com"," ","","","","","","","","",""
"Reinvent VC","Tel Aviv","Early stage Venture Capital firm","https://re-invent.vc/","https://www.linkedin.com/company/reinvent./","Convertible Note, Early Stage Venture, Seed","596 569","2016-05-01","https://www.crunchbase.com/organization/reinvent-fund","","","","","8","2","-"," ","","","","","","","","",""
"Qure Ventures","Herzliya","Qure Ventures is venture capital firm under OurCrowd.","https://www.qureventures.com/","https://www.linkedin.com/company/qure-ventures/","Early Stage Venture","660 912","2012-01-01","https://www.crunchbase.com/organization/qure-ventures","","","","","8","2","-"," ","","","","","","","","",""
"Labs/02","Jerusalem","Labs/02 is a value-added Incubator, investing in early-stage startups that use innovative technology to bring creative solutions to market.","http://www.labs02.com","https://www.linkedin.com/company/labs02","Early Stage Venture","844 082","2017-01-01","https://www.crunchbase.com/organization/labs-02","","","","","8","5","contact@labs02.com"," ","","","","","","","","",""
"Logos Ventures","Jerusalem","Logos Ventures is a venture capital investment firm.","-","-","Early Stage Venture, Seed","2 017 181","","https://www.crunchbase.com/organization/logos-ventures","","","","","8","1","-"," ","","","","","","","","",""
"eXeed Technology","Savyon","eXeed Technology is an investment group that helps establish, fund, build, and sell Israeli technology companies.","http://www.exeedtechnology.com","https://www.linkedin.com/company/exeedtechnology","Debt, Early Stage Venture, Late Stage Venture","3 723 982","","https://www.crunchbase.com/organization/exeed-technology","","","","","8","1","info@exeedtechnology.com"," ","","","","","","","","",""
"Mobilion Ventures","Rosh Ha'ayin","Mobilion Ventures is the only early-stage venture capital fund that invests in smart mobility.","https://www.mobilion-vc.com","https://il.linkedin.com/company/mobilion-vc","Early Stage Venture","387 644","2019-01-01","https://www.crunchbase.com/organization/mobilion-ventures","","","","","7","2","-"," ","","","","","","","","",""
"Clear Future","Herzliya","Clear Future is aventure capital fund.","http://clear-future.com/","https://www.linkedin.com/company/clear-future-corporation","Early Stage Venture, Seed","425 286","2014-01-01","https://www.crunchbase.com/organization/clear-future","","","","","7","4","-"," ","","","","","","","","",""
"RAD BioMed Accelerator","Tel Aviv","RAD BioMed Accelerator is a venture capital firm that funds life sciences companies based in Israel.","http://www.radbiomed.com","https://www.linkedin.com/company/rad-biomed-accelerator/","Early Stage Venture, Seed, Venture","445 359","1992-01-01","https://www.crunchbase.com/organization/rad-biomed-accelerator","","","","","7","3","info@radbiomed.com"," ","","","","","","","","",""
"IL Ventures","Tel Aviv","IL Ventures invests in tangible technology solutions that offer deeper, actionable insights which drive business decisions.","https://il-ventures.com","https://www.linkedin.com/company/il-ventures","Early Stage Venture, Seed","499 253","","https://www.crunchbase.com/organization/il-ventures","","","","","7","3","-"," ","","","","","","","","",""
"Bearing Capital","Herzliya","Bearing Capital is private, family-backed investment firm focused on investments in innovative, high-growth consumer companies","http://bearingcapital.ca","https://www.linkedin.com/company/bearing-capital-partners-inc./","-","636 638","2005-01-01","https://www.crunchbase.com/organization/bearing-capital","","","","","7","1","jlist@bearingcapital.ca"," ","","","","","","","","",""
"Cyrus Angel Fund","Tel Aviv","Unique early stage fund focused on Israeli software startups.","http://www.cyrusvp.com","https://www.linkedin.com/company/5252103","-","915 941","2014-01-01","https://www.crunchbase.com/organization/cyrus-angel-fund","","","","","7","","-"," ","","","","","","","","",""
"Partam Hightech","Tel Aviv","Investment fund in internet, mobile, IT early to mid stage companies.","-","-","Early Stage Venture","2 140 275","2006-01-01","https://www.crunchbase.com/organization/partam-hightech","","","","","7","1","-"," ","","","","","","","","",""
"Innomed Ventures","Jerusalem","Innomed Ventures provides later-stage venture investments.","-","-","Late Stage Venture","4 032 219","1999-01-01","https://www.crunchbase.com/organization/innomed-ventures","","","","","7","2","-"," ","","","","","","","","",""
"Mofet Technology Fund","Herzliya","Finance: Public venture capital fund which focuses on leading-edge technological sectors such as communications, telecommunications,","-","-","Early Stage Venture, Late Stage Venture","4 168 209","2005-01-01","https://www.crunchbase.com/organization/mofet-technology-fund","","","","","7","","-"," ","","","","","","","","",""
"Swish Ventures","Tel Aviv","Swish Ventures is a venture capital firm that supports early-stage startups in the tech sector.","https://www.swish.vc/","https://www.linkedin.com/company/swish-ventures","-","10 149","2024-01-01","https://www.crunchbase.com/organization/swish-ventures-91e6","","$1 126 000 000","","","6","","-"," ","","","","","","","","",""
"Aloniq","Tel Aviv","Aloniq is an investment firm that invests in early-stage technology companies.","https://www.aloniq.com/","https://www.linkedin.com/company/aloniq/?originalSubdomain=il","Early Stage Venture, Seed","138 244","2021-01-01","https://www.crunchbase.com/organization/aloniq","","","","","6","","hello@aloniq.com"," ","","","","","","","","",""
"E44 Ventures","Giv'atayim","Climate-Tech Venture Studio","http://www.e44ventures.earth","https://www.linkedin.com/company/e44ventures/","Early Stage Venture, Seed","205 051","2022-08-01","https://www.crunchbase.com/organization/e44-ventures","","","","","6","1","contact@e44ventures.earth"," ","","","","","","","","",""
"Alon Medtech Ventures","Yoqne`am `illit","Alon MedTech Ventures is an early stage Venture Capital investing in in novel technologies and solutions.","http://www.alon-medtech.com/","https://www.linkedin.com/company/alon-medtech-ventures","Early Stage Venture","373 890","2013-01-01","https://www.crunchbase.com/organization/alon-medtech-ventures","","","","","6","1","office@alon-medtech.com"," ","","","","","","","","",""
"Sheva Capital","Tel Aviv","Sheva Capital is a brand-new early stage venture capital firm in Israel that funds the world's most tenacious innovators.","https://sheva.vc/","https://www.linkedin.com/company/shevavc","Early Stage Venture, Seed","413 441","2022-01-01","https://www.crunchbase.com/organization/sheva-capital","","","","","6","1","-"," ","","","","","","","","",""
"Mobilitech Capital","Tel Aviv","Early-stage venture capital firm that invests in smart mobility","https://www.mobilitech-capital.com/","https://www.linkedin.com/company/mobilitech-capital/","Early Stage Venture","457 999","2021-06-01","https://www.crunchbase.com/organization/mobilitech-capital","","","","","6","2","info@mobilitech-capital.com"," ","","","","","","","","",""
"Longliv Ventures","Herzliya","A member of the multinational conglomerate CK Hutchison Group.","http://longliv-ventures.com/","https://www.linkedin.com/company/longliv-ventures/about/","Early Stage Venture","482 433","2018-01-01","https://www.crunchbase.com/organization/longliv-ventures","","","","","6","4","-"," ","","","","","","","","",""
"Tamar Ventures","Herzliya","Tamar Ventures is a venture capital firm that invests primarily in Israeli technology companies.","http://www.tamarventures.com","-","-","534 057","1998-01-01","https://www.crunchbase.com/organization/tamar-ventures","","","","","6","","info@tamarventures.com"," ","","","","","","","","",""
"Viola Group","Herzliya","Viola is a technology-focused investment group with over $3 billion assets under management.","https://www.viola-group.com/","-","Debt, Early Stage Venture, Late Stage Venture, Post-Ipo, Seed","539 334","2000-01-01","https://www.crunchbase.com/organization/viola-group","","","","","6","2","info@viola-group.com"," ","","","","","","","","",""
"Aurum Ventures MKI","Ramat Gan","Aurum Ventures MKI provides value added growth capital to exceptional entrepreneurs within the fields of life-sciences and clean-tech.","http://www.aurum.co.il","https://www.linkedin.com/company/aurum-ventures-mki-ltd-","Early Stage Venture","751 106","2005-01-01","https://www.crunchbase.com/organization/aurum-ventures-mki","","","","","6","2","info@aurum.co.il"," ","","","","","","","","",""
"Sarona Partners","Tel Aviv","We invest and scale-up extraordinary founders, across B2B, B2E, B2D and B2SMB sectors.","https://www.sarona-partners.com/","https://www.linkedin.com/company/sarona-partners","Seed","851 575","2016-01-01","https://www.crunchbase.com/organization/sarona-partners","","","","","6","1","-"," ","","","","","","","","",""
"Kmehin Ventures","Tel Aviv","Kmehin Ventures is invest in early-stage security startups.","https://www.kmehin.com/","https://www.linkedin.com/company/kmehin/","Early Stage Venture","867 020","2022-01-01","https://www.crunchbase.com/organization/kmehin-ventures","","","","","6","1","-"," ","","","","","","","","",""
"Capital Nature","Tel Aviv","A leading investment firm focused on funding and accelerating early stage ventures in the emerging Renewable Energy in Israel.","http://capitalnature.com","https://www.linkedin.com/company/capital-nature","Early Stage Venture, Seed","921 785","2012-01-01","https://www.crunchbase.com/organization/capital-nature","","","","","6","3","info@capitalnature.com"," ","","","","","","","","",""
"Menomadin Foundation","Herzliya","Menomadin Foundation supports education and community initiatives through scholarships, grants and youth programs.","https://menomadin.com/","https://www.linkedin.com/company/menomadin-foundation/","Early Stage Venture, Grant, Late Stage Venture","1 118 771","2019-01-01","https://www.crunchbase.com/organization/menomadin-foundation","","","","","6","2","contact@menomadin.com"," ","","","","","","","","",""
"XT Investments","Tel Aviv","XT Investments is a venture capital firm focused on later-stage and private equity investments.","-","-","Late Stage Venture, Private Equity","2 832 201","1977-01-01","https://www.crunchbase.com/organization/xt-investments","","","","","6","1","-"," ","","","","","","","","",""
"Shaked Ventures","Herzliya","Shaked Ventures is a private investment fund by the founders of 888 Holdings Investing at seed stage B2B Enterprise Saas startups.","http://www.shakedventures.com/","https://www.linkedin.com/company/shaked-ventures","-","3 067 228","2007-01-01","https://www.crunchbase.com/organization/shaked-ventures","","","","","6","2","info@shaked.com"," ","","","","","","","","",""
"Valley Venture Capital","Kadima","Valley Venture Capital is a Israel-based venture fund.","http://www.valley-vc.com","-","Late Stage Venture","3 111 452","2006-01-01","https://www.crunchbase.com/organization/valley-venture-capital","","","","","6","1","contact@valley-vc.com"," ","","","","","","","","",""
"Lanta Capital Holdings","Hod Hasharon","Lanta Capital Holdings is an investment firm that invests in Israeli and Israeli related technology companies.","http://www.lantacap.com/","-","-","3 508 553","2013-07-01","https://www.crunchbase.com/organization/lanta-capital","","","","","6","","info@lantacap.com"," ","","","","","","","","",""
